"GeneID"	"GeneName"	"Family_Subfamily"	"ProteinClass"	"GO_MF"	"GO_BP"	"GO_CC"
"SORBI_3010G150701"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G141550"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G443500"	"Coenzyme Q-binding protein COQ10 START domain-containing protein (Fragment)"	"POLYKETIDE CYCLASE _ DEHYDRASE AND LIPID TRANSPORT PROTEIN (PTHR34060:SF1)"	NA	NA	NA	"nucleus(GO:0005634)"
"SORBI_3002G120200"	"Pentacotripeptide-repeat region of PRORP domain-containing protein"	"OS07G0436600 PROTEIN (PTHR24015:SF898)"	NA	"RNA binding(GO:0003723)"	"RNA modification(GO:0009451)"	"intracellular membrane-bounded organelle(GO:0043231)"
"SORBI_3005G126701"	"Aminotransferase class I_classII domain-containing protein"	NA	NA	"pyridoxal phosphate binding(GO:0030170)"	"sphingolipid metabolic process(GO:0006665);biosynthetic process(GO:0009058)"	"endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789)"
"SORBI_3007G026900"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3005G081100"	"Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein"	NA	NA	NA	NA	NA
"SORBI_3004G240000"	"Protein kinase domain-containing protein"	"EUKARYOTIC TRANSLATION INITIATION FACTOR 2-ALPHA KINASE 1 (PTHR11042:SF160)"	"non-receptor serine/threonine protein kinase(PC00167)"	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);eukaryotic translation initiation factor 2alpha kinase activity(GO:0004694);ATP binding(GO:0005524)"	"regulation of translation(GO:0006417);response to stress(GO:0006950);negative regulation of translation(GO:0017148)"	"nucleus(GO:0005634);cytoplasm(GO:0005737)"
"SORBI_3007G096900"	"Rad21_Rec8-like protein N-terminal domain-containing protein"	"SISTER CHROMATID COHESION 1 PROTEIN 3 (PTHR12585:SF55)"	NA	"chromatin binding(GO:0003682)"	"sister chromatid cohesion(GO:0007062);replication-born double-strand break repair via sister chromatid exchange(GO:1990414)"	"nucleus(GO:0005634);cohesin complex(GO:0008278)"
"SORBI_3006G037650"	"U-box domain-containing protein"	"U-BOX DOMAIN-CONTAINING PROTEIN (PTHR22849:SF23)"	NA	"transferase activity(GO:0016740);ubiquitin protein ligase activity(GO:0061630)"	"protein ubiquitination(GO:0016567)"	NA
"SORBI_3003G087400"	"Uncharacterized protein"	NA	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3008G093500"	"Eukaryotic translation initiation factor 3 subunit G N-terminal domain-containing protein"	NA	NA	NA	NA	NA
"SORBI_3004G136500"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3007G212900"	"C2H2-type domain-containing protein"	"OS08G0504000 PROTEIN (PTHR45878:SF30)"	NA	"DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270)"	"regulation of DNA-templated transcription(GO:0006355);regulation of gene expression(GO:0010468)"	"nucleus(GO:0005634);intracellular membrane-bounded organelle(GO:0043231)"
"SORBI_3001G200700"	"Uncharacterized protein"	"LOW-TEMPERATURE-INDUCED 65 KDA PROTEIN-RELATED (PTHR33836:SF1)"	NA	NA	"response to stress(GO:0006950);response to abscisic acid(GO:0009737)"	NA
"SORBI_3004G144600"	"Uncharacterized protein"	NA	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3007G023100"	"CCT domain-containing protein"	"CCT MOTIF FAMILY PROTEIN (PTHR31874:SF25)"	NA	NA	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3007G216800"	"DUF1618 domain-containing protein"	"OS09G0128900 PROTEIN (PTHR33086:SF52)"	NA	NA	NA	NA
"SORBI_3003G204900"	"Uncharacterized protein"	"OS01G0591400 PROTEIN (PTHR33374:SF27)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3010G061900"	"Uncharacterized protein"	"OS06G0179500 PROTEIN (PTHR31549:SF312)"	NA	NA	NA	NA
"SORBI_3004G129201"	"Leucine-rich repeat-containing N-terminal plant-type domain-containing protein"	NA	NA	NA	NA	"plasma membrane(GO:0005886)"
"SORBI_3003G027700"	"BGGP Beta-1-3-galactosyl-O-glycosyl-glycoprotein"	"OS01G0201100 PROTEIN (PTHR45719:SF7)"	"glycosyltransferase(PC00111)"	"glucuronosyltransferase activity(GO:0015020);glycosyltransferase activity(GO:0016757)"	NA	"membrane(GO:0016020)"
"SORBI_3004G109700"	"RING-type domain-containing protein"	"RING-H2 FINGER PROTEIN ATL2L (PTHR22765:SF446)"	"ubiquitin-protein ligase(PC00234)"	"zinc ion binding(GO:0008270);ubiquitin protein ligase activity(GO:0061630)"	"ubiquitin-dependent protein catabolic process(GO:0006511)"	"membrane(GO:0016020)"
"SORBI_3001G330500"	"Leucine-rich repeat-containing N-terminal plant-type domain-containing protein"	"LEUCINE-RICH REPEAT-CONTAINING N-TERMINAL PLANT-TYPE DOMAIN-CONTAINING PROTEIN (PTHR48065:SF27)"	NA	NA	NA	NA
"SORBI_3001G352633"	"Uncharacterized protein"	NA	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3003G074700"	"Uncharacterized protein"	"THYLAKOID LUMENAL 15 KDA PROTEIN 1, CHLOROPLASTIC (PTHR47200:SF2)"	NA	NA	NA	"chloroplast thylakoid(GO:0009534);chloroplast thylakoid lumen(GO:0009543)"
"SORBI_3001G476700"	"Protein DETOXIFICATION"	"PROTEIN DETOXIFICATION 27 (PTHR11206:SF80)"	"transporter(PC00227)"	"antiporter activity(GO:0015297);transmembrane transporter activity(GO:0022857);xenobiotic transmembrane transporter activity(GO:0042910)"	"xenobiotic transport(GO:0042908);transmembrane transport(GO:0055085);xenobiotic detoxification by transmembrane export across the plasma membrane(GO:1990961)"	"membrane(GO:0016020)"
"SORBI_3003G083600"	"Uncharacterized protein"	"EXPRESSED PROTEIN (PTHR31042:SF148)"	"transferase(PC00220)"	"glycosyltransferase activity(GO:0016757)"	NA	"membrane(GO:0016020)"
"SORBI_3010G152250"	"CCHC-type domain-containing protein"	"OS11G0296500 PROTEIN (PTHR23002:SF89)"	"RNA metabolism protein(PC00031)"	"nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)"	"positive regulation of cytoplasmic translation(GO:2000767)"	"cytoplasm(GO:0005737)"
"SORBI_3006G157000"	"Expansin-like EG45 domain-containing protein"	"ADENYLOSUCCINATE LYASE (PTHR43411:SF1)"	"lyase(PC00144)"	"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity(GO:0004018);lyase activity(GO:0016829);(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity(GO:0070626)"	"purine nucleotide biosynthetic process(GO:0006164);IMP biosynthetic process(GO:0006188);'de novo' IMP biosynthetic process(GO:0006189);sexual reproduction(GO:0019953);'de novo' AMP biosynthetic process(GO:0044208);cell wall organization(GO:0071555)"	"extracellular region(GO:0005576)"
"SORBI_3010G145000"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G143401"	"Gnk2-homologous domain-containing protein"	"PROTEIN TAPETUM DETERMINANT 1 (PTHR33184:SF45)"	NA	NA	"cell fate determination(GO:0001709)"	NA
"SORBI_3003G318300"	"Pentacotripeptide-repeat region of PRORP domain-containing protein"	"OS01G0783100 PROTEIN (PTHR47941:SF13)"	NA	NA	NA	NA
"SORBI_3002G130601"	"Uncharacterized protein"	"OS01G0164025 PROTEIN (PTHR33470:SF4)"	NA	NA	NA	"cell periphery(GO:0071944)"
"SORBI_3009G073600"	"Uncharacterized protein"	"OS08G0232201 PROTEIN (PTHR48179:SF1)"	NA	NA	NA	NA
"SORBI_3004G171700"	"U-box domain-containing protein"	"U-BOX DOMAIN-CONTAINING PROTEIN 26 (PTHR22849:SF112)"	NA	"ubiquitin-protein transferase activity(GO:0004842);transferase activity(GO:0016740);ubiquitin protein ligase activity(GO:0061630)"	"protein ubiquitination(GO:0016567)"	NA
"SORBI_3007G094700"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3009G052600"	"UspA domain-containing protein"	"USPA DOMAIN-CONTAINING PROTEIN (PTHR46100:SF4)"	NA	NA	NA	NA
"SORBI_3010G230700"	"60S ribosomal protein L27"	"LARGE RIBOSOMAL SUBUNIT PROTEIN EL27 (PTHR10497:SF0)"	"ribosomal protein(PC00202)"	"structural constituent of ribosome(GO:0003735)"	"translation(GO:0006412)"	"ribosome(GO:0005840);cytosolic large ribosomal subunit(GO:0022625);ribonucleoprotein complex(GO:1990904)"
"SORBI_3009G070750"	"DUF4283 domain-containing protein"	"OS02G0303350 PROTEIN (PTHR33075:SF7)"	NA	"nucleic acid binding(GO:0003676);zinc ion binding(GO:0008270)"	NA	NA
"SORBI_3010G249700"	"Pentacotripeptide-repeat region of PRORP domain-containing protein"	"PROTEIN LOW PHOTOSYNTHETIC EFFICIENCY 1, CHLOROPLASTIC (PTHR47940:SF1)"	NA	NA	NA	NA
"SORBI_3006G123500"	"peptide-methionine (S)-S-oxide reductase"	"PEPTIDE-METHIONINE (S)-S-OXIDE REDUCTASE (PTHR42799:SF15)"	"reductase(PC00198)"	"peptide-methionine (S)-S-oxide reductase activity(GO:0008113);oxidoreductase activity(GO:0016491);L-methionine-(S)-S-oxide reductase activity(GO:0036456)"	"cellular response to oxidative stress(GO:0034599)"	"cytoplasm(GO:0005737)"
"SORBI_3010G150800"	"Cytoplasmic tRNA 2-thiolation protein 1 C-terminal domain-containing protein"	"CYTOPLASMIC TRNA 2-THIOLATION PROTEIN (PTHR33513:SF45)"	NA	NA	NA	NA
"SORBI_3006G009900"	"WEB family protein"	"OS04G0116200 PROTEIN (PTHR32054:SF9)"	NA	NA	"chloroplast avoidance movement(GO:0009903);chloroplast accumulation movement(GO:0009904)"	"cytosol(GO:0005829)"
"SORBI_3002G095400"	"Metal transporter"	"METAL TRANSPORTER NRAMP5 (PTHR11706:SF77)"	"secondary carrier transporter(PC00258)"	"manganese ion transmembrane transporter activity(GO:0005384);cadmium ion transmembrane transporter activity(GO:0015086);metal ion transmembrane transporter activity(GO:0046873)"	"monoatomic ion transport(GO:0006811);manganese ion transport(GO:0006828);metal ion transport(GO:0030001);iron ion transmembrane transport(GO:0034755);cadmium ion transmembrane transport(GO:0070574);manganese ion transmembrane transport(GO:0071421)"	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3001G138200"	"Hexosyltransferase"	"HEXOSYLTRANSFERASE (PTHR13778:SF59)"	"glycosyltransferase(PC00111)"	"glycosyltransferase activity(GO:0016757)"	NA	"Golgi apparatus(GO:0005794)"
"SORBI_3009G133100"	"Cytochrome P450"	"CYTOCHROME P450-RELATED (PTHR24282:SF211)"	"oxygenase(PC00177)"	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"	"lipid metabolic process(GO:0006629)"	"membrane(GO:0016020)"
"SORBI_3010G249600"	"Uncharacterized protein"	"MACROPHAGE MIGRATION INHIBITORY FACTOR (PTHR11954:SF6)"	"decarboxylase(PC00089)"	"cytokine activity(GO:0005125);isomerase activity(GO:0016853);phenylpyruvate tautomerase activity(GO:0050178)"	"signal transduction(GO:0007165)"	"extracellular region(GO:0005576);extracellular space(GO:0005615)"
"SORBI_3001G447000"	"Maf-like protein"	"MAF-LIKE PROTEIN CV_0124 (PTHR43213:SF15)"	NA	"nucleoside triphosphate diphosphatase activity(GO:0047429)"	NA	NA
"SORBI_3005G019800"	"ZF-HD dimerization-type domain-containing protein"	"MINI ZINC FINGER PROTEIN 2 (PTHR31948:SF162)"	NA	"transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634);cytoplasm(GO:0005737)"
"SORBI_3006G025000"	"TCP domain-containing protein"	"TRANSCRIPTION FACTOR PCF1 (PTHR31072:SF272)"	"DNA-binding transcription factor(PC00218)"	"DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3009G016633"	"Uncharacterized protein"	"SUBFAMILY NOT NAMED (PTHR45675:SF50)"	"homeodomain transcription factor(PC00119)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3002G344000"	"Uncharacterized protein"	"EXPRESSED PROTEIN (PTHR18868:SF46)"	NA	NA	NA	NA
"SORBI_3006G168000"	"AP2_ERF domain-containing protein"	"ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF105 (PTHR31190:SF403)"	NA	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355);ethylene-activated signaling pathway(GO:0009873)"	"nucleus(GO:0005634)"
"SORBI_3002G142600"	"FCP1 homology domain-containing protein"	"HALOACID DEHALOGENASE-LIKE HYDROLASE (HAD) SUPERFAMILY PROTEIN (PTHR12210:SF195)"	"protein phosphatase(PC00195)"	NA	"protein transport(GO:0015031);protein import into mitochondrial matrix(GO:0030150)"	"mitochondrion(GO:0005739);mitochondrial inner membrane(GO:0005743);TIM23 mitochondrial import inner membrane translocase complex(GO:0005744);membrane(GO:0016020)"
"SORBI_3005G227151"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3009G222100"	"Protein kinase domain-containing protein"	"OS05G0550800 PROTEIN (PTHR46008:SF53)"	"transmembrane signal receptor(PC00197)"	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);polysaccharide binding(GO:0030247)"	NA	"membrane(GO:0016020)"
"SORBI_3010G133566"	"AP2_ERF domain-containing protein"	"ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR ERF105 (PTHR31190:SF403)"	NA	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355);ethylene-activated signaling pathway(GO:0009873)"	"nucleus(GO:0005634)"
"SORBI_3001G258600"	"GDSL esterase_lipase"	"OS10G0393700 PROTEIN (PTHR22835:SF544)"	NA	"hydrolase activity, acting on ester bonds(GO:0016788)"	NA	NA
"SORBI_3004G094600"	"BHLH domain-containing protein"	"SPERMATOGENESIS- AND OOGENESIS-SPECIFIC BASIC HELIX-LOOP-HELIX-CONTAINING PROTEIN 1 (PTHR46665:SF1)"	"basic helix-loop-helix transcription factor(PC00055)"	"transcription cis-regulatory region binding(GO:0000976);protein dimerization activity(GO:0046983)"	NA	"nucleus(GO:0005634)"
"SORBI_3004G087700"	"ABC transporter domain-containing protein"	"ABC TRANSPORTER G FAMILY MEMBER 39 (PTHR19241:SF662)"	"ATP-binding cassette (ABC) transporter(PC00003)"	"ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)"	"transmembrane transport(GO:0055085)"	"membrane(GO:0016020)"
"SORBI_3003G180100"	"1,3-beta-glucan synthase"	"1,3-BETA-GLUCAN SYNTHASE (PTHR12741:SF13)"	NA	"1,3-beta-D-glucan synthase activity(GO:0003843);glycosyltransferase activity(GO:0016757);glucosyltransferase activity(GO:0046527)"	"(1->3)-beta-D-glucan biosynthetic process(GO:0006075);regulation of cell shape(GO:0008360)"	"1,3-beta-D-glucan synthase complex(GO:0000148);plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3009G221600"	"RING-type E3 ubiquitin transferase"	"RING-TYPE E3 UBIQUITIN TRANSFERASE (PTHR22937:SF122)"	"ubiquitin-protein ligase(PC00234)"	"zinc ion binding(GO:0008270);ubiquitin protein ligase activity(GO:0061630)"	NA	NA
"SORBI_3008G061100"	"Cx9C motif-containing protein 4"	"CX9C MOTIF-CONTAINING PROTEIN 4 (PTHR15590:SF0)"	NA	NA	NA	"mitochondrion(GO:0005739)"
"SORBI_3005G011100"	"GDSL esterase_lipase"	"SGNH HYDROLASE-TYPE ESTERASE DOMAIN-CONTAINING PROTEIN (PTHR46020:SF15)"	NA	"hydrolase activity, acting on ester bonds(GO:0016788)"	"lipid metabolic process(GO:0006629)"	NA
"SORBI_3001G183401"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G087900"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G121700"	"Uncharacterized protein"	"PROTEIN PHYTOCHROME KINASE SUBSTRATE 4 (PTHR33781:SF1)"	NA	NA	"phototropism(GO:0009638)"	NA
"SORBI_3002G267900"	"Ycf49-like protein"	"YCF49-LIKE PROTEIN (PTHR33833:SF3)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3010G132550"	"Secreted protein"	NA	NA	NA	NA	NA
"SORBI_3003G083500"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR48007:SF9)"	"transmembrane signal receptor(PC00197)"	"protein kinase activity(GO:0004672);ATP binding(GO:0005524)"	NA	"membrane(GO:0016020)"
"SORBI_3008G058200"	"Pectate lyase"	"PECTATE LYASE (PTHR31683:SF113)"	"lyase(PC00144)"	"lyase activity(GO:0016829);pectate lyase activity(GO:0030570);metal ion binding(GO:0046872)"	"pectin catabolic process(GO:0045490)"	NA
"SORBI_3009G208200"	"WD repeat-containing protein 55"	"WD REPEAT-CONTAINING PROTEIN 55 (PTHR44019:SF20)"	"non-motor microtubule binding protein(PC00166)"	NA	NA	"nucleus(GO:0005634)"
"SORBI_3004G132150"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3008G119501"	"Leucine-rich repeat-containing N-terminal plant-type domain-containing protein"	"POLLEN-SPECIFIC LEUCINE-RICH REPEAT EXTENSIN-LIKE PROTEIN 1 (PTHR32093:SF124)"	NA	NA	NA	"extracellular region(GO:0005576);membrane(GO:0016020)"
"SORBI_3004G317200"	"Protein kinase domain-containing protein"	"LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE ER2 (PTHR48056:SF24)"	"transmembrane signal receptor(PC00197)"	"protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301);receptor serine/threonine kinase binding(GO:0033612)"	"regulation of cell growth(GO:0001558);heat acclimation(GO:0010286)"	"membrane(GO:0016020)"
"SORBI_3001G115600"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR24361:SF829)"	"non-receptor serine/threonine protein kinase(PC00167)"	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)"	NA	"cytoplasm(GO:0005737)"
"SORBI_3009G013100"	"Uncharacterized protein"	"NB-ARC DOMAIN-CONTAINING PROTEIN (PTHR36766:SF34)"	NA	"ADP binding(GO:0043531)"	"defense response(GO:0006952);response to other organism(GO:0051707)"	NA
"SORBI_3010G137000"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3002G188900"	"Glycosyltransferase"	"GLYCOSYLTRANSFERASE (PTHR11926:SF1006)"	"transferase(PC00220)"	"UDP-glycosyltransferase activity(GO:0008194);glycosyltransferase activity(GO:0016757);glucosyltransferase activity(GO:0046527);quercetin 3-O-glucosyltransferase activity(GO:0080043);quercetin 7-O-glucosyltransferase activity(GO:0080044)"	NA	"cytoplasm(GO:0005737)"
"SORBI_3008G048100"	"Alginate lyase 2 domain-containing protein"	"OS12G0165400 PROTEIN (PTHR33681:SF16)"	NA	NA	NA	NA
"SORBI_3007G099100"	"HSF-type DNA-binding domain-containing protein"	NA	NA	NA	NA	NA
"SORBI_3010G139100"	"non-specific serine_threonine protein kinase"	"NON-SPECIFIC SERINE_THREONINE PROTEIN KINASE (PTHR27001:SF480)"	NA	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)"	"signal transduction(GO:0007165)"	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3007G154701"	"Uncharacterized protein"	"OS08G0469700 PROTEIN (PTHR23084:SF254)"	"kinase(PC00137)"	NA	NA	"membrane(GO:0016020)"
"SORBI_3009G222500"	"TOG domain-containing protein"	"ARM REPEAT SUPERFAMILY PROTEIN (PTHR21567:SF62)"	"non-motor microtubule binding protein(PC00166)"	"microtubule binding(GO:0008017)"	"microtubule cytoskeleton organization(GO:0000226)"	"cytoplasmic microtubule(GO:0005881)"
"SORBI_3003G188300"	"PHD-type domain-containing protein"	"PHD-TYPE DOMAIN-CONTAINING PROTEIN (PTHR10615:SF203)"	"histone modifying enzyme(PC00261)"	"DNA binding(GO:0003677);chromatin binding(GO:0003682);transcription coregulator activity(GO:0003712);histone acetyltransferase activity(GO:0004402);zinc ion binding(GO:0008270)"	"chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357)"	"chromatin(GO:0000785);nucleus(GO:0005634)"
"SORBI_3010G013700"	"Urease accessory protein UreH-like transmembrane domain-containing protein"	"CHLOROPLAST PROTEIN FOR GROWTH AND FERTILITY 2 (PTHR33876:SF4)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3002G066350"	"Bowman-Birk serine protease inhibitors family domain-containing protein"	NA	NA	NA	NA	NA
"SORBI_3009G209200"	"serine O-acetyltransferase"	"SERINE ACETYLTRANSFERASE 5-RELATED (PTHR42811:SF28)"	"acetyltransferase(PC00038)"	"serine O-acetyltransferase activity(GO:0009001);acyltransferase activity(GO:0016746)"	"cysteine biosynthetic process from serine(GO:0006535);amino acid biosynthetic process(GO:0008652);cysteine biosynthetic process(GO:0019344)"	"cytoplasm(GO:0005737);cytosol(GO:0005829)"
